(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		Bannar Stand (1) (832 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Fire Hydrant (2) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01A (2) (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 01 (1) (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (7) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 09 (1) (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar Stand (832 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Box001rrt (239 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01C (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 02 (60 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (6) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01A (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (5) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Street Pole (1) (272 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Post Box (1) (116 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (11) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01F (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (7) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Street Pole (272 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (4) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 04 (1) (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (6) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (56 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 01 (2) (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (4) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 01 (3) (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (2) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 01 (1) (108 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 04 (56 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (6) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 01 (5) (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (3) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 01 (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (1) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 10 (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (9) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bench (4) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bench (1) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Bannar 08 (40 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (9) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01 (2) (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (3) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001rrt (239 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Sign 07 (1) (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (5) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Paper Box 02 (209 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 08 (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (1) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (56 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 03 (108 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (4) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 01 (108 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		AC (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 03 (1) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 14 (1) (40 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01A (1) (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 14 (40 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01 (3) (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Box001 (127 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001rrt (239 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Fire Hydrant (8) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 09 (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 04 (40 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Street Pole (2) (272 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Sign 07 (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bench (8) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Sign 07 (2) (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Light 01 (52 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01 (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Paper Box (122 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bench (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Paper Box 03 (1) (109 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bench (2) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Bench (3) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Bannar 01 (1) (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (5) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
	Legacy Shaders/Reflective/Bumped Specular (7063 verts): 
		Building 05 (442 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Building 11 (1) (519 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x2 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 02 (1) (585 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 11 (2) (519 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x2 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 02 (3) (585 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 02 (585 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 04 (1362 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 11 (519 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x2 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 02 (2) (585 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 04 (1) (1362 verts)	-1	True	False	True	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
	Legacy Shaders/Reflective/Bumped Specular (70457 verts): 
		Building 13 (850 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 14 (1) (898 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 28 (315 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 19 (488 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 01 (2) (681 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 18 (1098 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 23 (2) (518 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 08 (1) (1210 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 03 (1518 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 23 (1) (518 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 21 (757 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 15 (3) (1300 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 14 (898 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 30 (3) (558 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 30 (558 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 14 (2) (898 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 09 (2) (1018 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 15 (4) (1300 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 09 (3) (1018 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 14 (6) (898 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 03 (2) (1518 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 03 (1) (1518 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 12 (604 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 03 (4) (1518 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 15 (2) (1300 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 14 (7) (898 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 08 (1210 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 29 (2) (832 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 06 (2) (1268 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 27 (1) (664 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 22 (1) (814 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 29 (832 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 01 (1) (681 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 29 (4) (832 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 15 (1) (1300 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 20 (1) (650 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Building 06 (1268 verts)	-1	True	False	False	1	[texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] [texture_01 (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
